State,District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
BAGALKOTE,BAGALKOTE,61,3205,5106,3646,3898,828,988,5984,1400,573,2556,5242,783,3,7586,8072,300,6248,2124,820,7552,2701,5670,8341,31,6452,1920,7656,716
BALLARI,BALLARI,145,3532,1416,437,3367,1289,1878,2587,628,1370,2579,1144,931,5,4157,5053,40,407,4686,359,4734,2450,2643,5092,1,561,4532,5067,26
BELAGAVI,BELAGAVI,0,380,6465,3635,2444,766,3533,2387,925,90,356,6399,1379,486,4980,6681,164,4145,2700,2276,4569,2047,4798,6051,794,331,6513,3880,2965
BENGALURU RURAL,BENGALURU RURAL,2,35,3551,1419,1463,706,1169,1374,1045,42,264,3282,0,857,2731,3379,209,679,2909,1458,2130,1142,2446,3132,456,203,3385,2870,718
BENGALURU URBAN,BENGALURU URBAN,0,10,1588,683,687,228,783,625,190,11,56,1531,34,254,1310,1343,255,294,1304,706,892,326,1272,1080,518,88,1510,1114,484
BIDAR,BIDAR,1,4202,1494,140,4973,585,5587,103,8,1420,3424,854,5,9,5684,5695,3,2480,3218,3573,2125,4652,1046,5692,6,3778,1920,5460,238
CHAMARAJANAGARA,CHAMARAJANAGARA,2259,1873,327,2258,2037,163,1352,2460,647,1813,1324,1322,425,2,4032,4363,96,4181,278,1028,3431,2201,2258,4243,216,2303,2156,4175,284
CHIKKABALLAPURA,CHIKKABALLAPURA,0,2,4150,3603,543,6,1577,2570,5,122,4023,7,0,2,4150,4152,0,2487,1665,1581,2571,958,3194,3434,718,2879,1273,3238,914
CHIKKAMAGALURU,CHIKKAMAGALURU,0,1126,4740,4595,873,398,2655,2357,854,790,1514,3562,420,823,4623,5865,1,1990,3876,4332,1534,2152,3714,5508,358,932,4934,5451,415
CHITRADURGA,CHITRADURGA,0,203,8833,6888,2145,2,2561,6473,2,7,1853,7176,0,26,9010,9036,0,8223,813,5742,3294,8850,186,8650,386,766,8270,7358,1678
DAKSHINA KANNADA,DAKSHINA KANNADA,0,23,2626,193,405,2051,406,1139,1104,2205,414,30,0,425,2224,2648,0,1558,1091,2039,610,1918,731,2610,39,107,2542,1916,733
DAVANGERE,DAVANGERE,800,7323,314,7160,1245,32,5405,2993,39,5656,1862,918,0,3,8434,8437,0,8425,12,3929,4508,6747,1690,8428,8,7029,1407,8098,339
DHARWAD,DHARWAD,74,4870,704,259,5344,45,5403,245,0,1800,3120,728,1253,0,4395,5648,0,2729,2919,2571,3077,693,4955,5648,0,3075,2573,5643,5
GADAG,GADAG,0,4735,187,739,4128,55,4259,663,0,88,4631,203,471,20,4431,4752,170,4881,41,2952,1970,3884,1038,4557,365,3946,976,4535,387
HASSAN,HASSAN,299,6350,55,6123,580,2,825,5795,85,1551,4793,361,0,193,6512,6703,2,6455,250,120,6585,349,6356,3337,3368,5887,818,2261,4443
HAVERI,HAVERI,46,4200,2043,2594,3694,1,965,4663,661,1264,3510,1514,105,102,6082,6286,3,6276,13,360,5929,1159,5128,6159,130,1984,4303,6226,63
KALABURAGI,KALABURAGI,0,144,5757,5891,10,0,5901,0,0,3,180,5718,0,0,5901,5900,1,5889,12,7,5894,58,5843,5901,0,3976,1925,5891,10
KODAGU,KODAGU,514,2473,2001,2524,1755,709,626,4205,157,1363,1625,2000,0,268,4720,4987,1,4065,923,4870,118,2575,2413,4988,0,4129,859,4041,947
KOLAR,KOLAR,1,609,5204,4986,794,34,826,3619,1369,11,129,5674,0,3,5811,5810,4,4051,1763,5728,86,3129,2685,5751,63,3959,1855,5810,4
KOPPAL,KOPPAL,4827,1877,1572,8259,12,5,5798,2068,410,6428,814,1034,110,20,8146,8183,93,1444,6832,6614,1662,873,7403,7993,283,1990,6286,8168,108
MANDYA,MANDYA,0,2540,4555,6163,787,145,3572,3240,283,2305,2665,2125,33,447,6615,7025,70,6917,178,5862,1233,4850,2245,6817,278,2960,4135,6688,407
MYSURU,MYSURU,0,0,5097,3872,822,403,1655,2613,829,707,1780,2610,33,896,4168,5071,26,5084,13,3967,1130,2611,2486,4998,99,4135,962,4476,621
RAICHUR,RAICHUR,0,0,6567,309,6257,1,0,6553,14,0,1846,4721,0,0,6567,1,6566,6559,8,3,6564,3,6564,6565,2,3,6564,6563,4
RAMANAGARA,RAMANAGARA,0,2887,771,2546,857,255,834,1323,1501,570,1863,1225,10,267,3381,3655,3,930,2728,2302,1356,1290,2368,3379,279,258,3399,3149,509
SHIVAMOGGA,SHIVAMOGGA,32,1429,5587,4242,1445,1361,3331,2968,750,4457,1960,632,2,1078,5968,7018,31,3031,4018,6553,496,5032,2016,6959,90,5578,1471,6705,344
TUMAKURU,TUMAKURU,116,2525,3655,4326,1661,309,1688,3531,1077,1071,2075,3150,0,60,6236,6166,130,3901,2395,3972,2324,1297,4999,6149,147,2410,3886,6167,129
UDUPI,UDUPI,25,1098,2267,2524,548,318,1021,849,1520,2241,516,633,0,2283,1107,3274,116,2318,1072,3266,124,2455,935,3003,387,411,2979,1620,1770
UTTARA KANNADA,UTTARA KANNADA,0,617,3734,2081,1758,512,669,1277,2405,3011,1052,288,0,1034,3317,4017,334,3419,932,4123,228,2713,1638,4242,109,1691,2660,3953,398
VIJAYANAGAR,VIJAYANAGAR,25,119,175,119,145,55,36,47,236,86,118,115,53,36,230,259,60,26,293,74,245,207,112,319,0,148,171,277,42
VIJAYAPURA,VIJAYAPURA,0,12,6691,5914,789,0,4961,1601,141,3,11,6689,58,2,6643,6666,37,9,6694,15,6688,1363,5339,6185,518,656,6047,3192,3511
YADGIR,YADGIR,35,694,1121,1311,521,18,1647,194,9,261,1178,411,117,0,1733,1831,19,1757,93,710,1140,1001,849,1824,26,1086,764,1783,67
